Quarter,Gross_Margin
Q1 2026,48.158685550516154
Q4 2025,47.177600374758455
Q3 2025,46.490705687183635
Q2 2025,47.050619238876244
Q1 2025,46.882542236524536
Q4 2024,46.22247972190035
Q3 2024,46.2571551814589
Q2 2024,46.578074554009234
Q1 2024,45.87497386577462
Q4 2023,45.17084180652082
Q3 2023,44.5163025538834
Q2 2023,44.261672782487665
Q1 2023,42.96225480990832
Q4 2022,42.25922392563175
Q3 2022,43.25630733253776
Q2 2022,43.7498715022924
Q1 2022,43.76376618661503
Q4 2021,42.19529750479846
Q3 2021,43.292727853230836
Q2 2021,42.50647437042329
Q1 2021,39.777815665969726
Q4 2020,38.16037590033695
Q3 2020,37.99949736114602
Q2 2020,38.36194330595236
Q1 2020,38.35480673934589
Q4 2019,37.96533416614616
Q3 2019,37.590365923916075
Q2 2019,37.61268637421357
Q1 2019,37.99193452733958
Q4 2018,38.289348171701114
Q3 2018,38.33849619825401
Q2 2018,38.310679294044526
Q1 2018,38.408480853521795
Q4 2017,37.90676886209323
Q3 2017,38.513037350246655
Q2 2017,38.927329098608595
Q1 2017,38.51386708529566
Q4 2016,38.0197216767694
Q3 2016,38.023513858066956
Q2 2016,39.403050022746605
Q1 2016,40.097796288485874
Q4 2015,39.89825440282713
Q3 2015,39.67543594395726
Q2 2015,40.77917600413722
Q1 2015,39.86782664646979
Q4 2014,38.0053652398927
Q3 2014,39.36471468262449
Q2 2014,39.31779345397187
Q1 2014,37.93103448275862
Q4 2013,37.01697267292912
Q3 2013,36.87116043371175
Q2 2013,37.495126482122785
Q1 2013,38.63369533313766
Q4 2012,40.040593894233446
Q3 2012,42.81186648773663
Q2 2012,47.37406216505895
Q1 2012,44.68305527377895
