Quarter,RD_Expense
Q1 2026,10.887
Q4 2025,8.866
Q3 2025,8.866
Q2 2025,8.55
Q1 2025,8.268
Q4 2024,7.765
Q3 2024,8.006
Q2 2024,7.903
Q1 2024,7.696
Q4 2023,7.307
Q3 2023,7.442
Q2 2023,7.457
Q1 2023,7.709
Q4 2022,6.761
Q3 2022,6.797
Q2 2022,6.387
Q1 2022,6.306
Q4 2021,5.772
Q3 2021,5.717
Q2 2021,5.262
Q1 2021,5.163
Q4 2020,4.978
Q3 2020,4.758
Q2 2020,4.565
Q1 2020,4.451
Q4 2019,4.11
Q3 2019,4.257
Q2 2019,3.948
Q1 2019,3.902
Q4 2018,3.75
Q3 2018,3.701
Q2 2018,3.378
Q1 2018,3.407
Q4 2017,2.997
Q3 2017,2.937
Q2 2017,2.776
Q1 2017,2.871
Q4 2016,2.57
Q3 2016,2.56
Q2 2016,2.511
Q1 2016,2.404
Q4 2015,2.22
Q3 2015,2.034
Q2 2015,1.918
Q1 2015,1.895
Q4 2014,1.686
Q3 2014,1.603
Q2 2014,1.422
Q1 2014,1.33
Q4 2013,1.168
Q3 2013,1.178
Q2 2013,1.119
Q1 2013,1.01
Q4 2012,0.906
Q3 2012,0.876
Q2 2012,0.841
Q1 2012,0.758
