Quarter,Gross_Margin,SGA_Expense,RD_Expense
Q1 2026,48.158685550516154,7.492,10.887
Q4 2025,47.177600374758455,7.048,8.866
Q3 2025,46.490705687183635,6.65,8.866
Q2 2025,47.050619238876244,6.728,8.55
Q1 2025,46.882542236524536,7.175,8.268
Q4 2024,46.22247972190035,6.523,7.765
Q3 2024,46.2571551814589,6.32,8.006
Q2 2024,46.578074554009234,6.468,7.903
Q1 2024,45.87497386577462,6.786,7.696
Q4 2023,45.17084180652082,6.151,7.307
Q3 2023,44.5163025538834,5.973,7.442
Q2 2023,44.261672782487665,6.201,7.457
Q1 2023,42.96225480990832,6.607,7.709
Q4 2022,42.25922392563175,6.44,6.761
Q3 2022,43.25630733253776,6.012,6.797
Q2 2022,43.7498715022924,6.193,6.387
Q1 2022,43.76376618661503,6.449,6.306
Q4 2021,42.19529750479846,5.616,5.772
Q3 2021,43.292727853230836,5.412,5.717
Q2 2021,42.50647437042329,5.314,5.262
Q1 2021,39.777815665969726,5.631,5.163
Q4 2020,38.16037590033695,4.936,4.978
Q3 2020,37.99949736114602,4.831,4.758
Q2 2020,38.36194330595236,4.952,4.565
Q1 2020,38.35480673934589,5.197,4.451
Q4 2019,37.96533416614616,4.578,4.11
Q3 2019,37.590365923916075,4.426,4.257
Q2 2019,37.61268637421357,4.458,3.948
Q1 2019,37.99193452733958,4.783,3.902
Q4 2018,38.289348171701114,4.216,3.75
Q3 2018,38.33849619825401,4.108,3.701
Q2 2018,38.310679294044526,4.15,3.378
Q1 2018,38.408480853521795,4.231,3.407
Q4 2017,37.90676886209323,3.814,2.997
Q3 2017,38.513037350246655,3.783,2.937
Q2 2017,38.927329098608595,3.718,2.776
Q1 2017,38.51386708529566,3.946,2.871
Q4 2016,38.0197216767694,3.482,2.57
Q3 2016,38.023513858066956,3.441,2.56
Q2 2016,39.403050022746605,3.423,2.511
Q1 2016,40.097796288485874,3.848,2.404
Q4 2015,39.89825440282713,3.705,2.22
Q3 2015,39.67543594395726,3.564,2.034
Q2 2015,40.77917600413722,3.46,1.918
Q1 2015,39.86782664646979,3.6,1.895
Q4 2014,38.0053652398927,3.158,1.686
Q3 2014,39.36471468262449,2.85,1.603
Q2 2014,39.31779345397187,2.932,1.422
Q1 2014,37.93103448275862,3.053,1.33
Q4 2013,37.01697267292912,2.673,1.168
Q3 2013,36.87116043371175,2.645,1.178
Q2 2013,37.495126482122785,2.672,1.119
Q1 2013,38.63369533313766,2.84,1.01
Q4 2012,40.040593894233446,2.551,0.906
Q3 2012,42.81186648773663,2.545,0.876
Q2 2012,47.37406216505895,2.339,0.841
Q1 2012,44.68305527377895,2.605,0.758
